"#dig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," d"," d"," d"," d"," d"," "," "," "," "," "," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," ",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," "," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," "," "
," "," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," "," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," "," "
," "," "," "," d"," "," "," "," d"," "," "," "," d"," "," "," "," "," ",," "," "," "," "," "," d"," "," "," "," d"," "," "," "," d"," "," "," "," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," "," "
," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," ",," "," "," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," ",," "," "," "," "," "," d"," "," "," "," d"," "," "," "," d"," "," "," "," "," "," "," "," d"," "," "," "," d"," "," "," "," d"," "," "," "," "," "," "
," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," ",," "," "," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," ",," "," "," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," "," "
," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," ",," "," "," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," "," "
," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," ",," "," "," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," "," "
"d"," d"," d"," d"," d"," d"," d"," d"," j"," d"," d"," d"," d"," d"," d"," d"," d"," d",," d"," d"," d"," d"," d"," d"," d"," d"," d"," j"," d"," d"," d"," d"," d"," d"," d"," d"," d",," "," "," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," "," "
," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," ",," "," "," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," ",," "," d"," d"," d"," d"," d"," d"," d"," d"," j"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," j"," d"," d"," d"," d"," d"," d"," d"," d"," "," "
," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," ",," "," "," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," "," "," "," d"," "," d"," d"," d"," d"," d"," "," d"," "," "," "," "," "," "
," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," ",," "," "," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," ",," "," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," "," d"," d"," d"," d"," d"," "," d"," d"," d"," d"," "," "," "
," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," ",," "," "," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," ",," "," "," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," d"," d"," "," d"," "," "," "," d"," "," "," "," d"," "," d"," d"," "," "," "
," "," "," "," d"," "," "," "," d"," "," "," "," d"," "," "," "," "," ",," "," "," "," "," "," d"," "," "," "," d"," "," "," "," d"," "," "," "," "," ",," "," "," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," d"," d"," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," d"," d"," "," "," "
