#dig start(18; 17; Center tile of a 35x33 rectangle) This is a 35x33 layout of a workshop level; the design "cribbed from the wiki" by Meeker. I like the 3-tile wide corridors. And the 3x3 solid center leaves room to build taodih's 3x3 counter-clockwise spiral ramp staircase.
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,`,`,`,`,d,`,`,`,`,d,d,d,`,d,d,d,`,d,d,d,`,`,`,`,d,`,`,`,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
`,d,`,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,`,d,`,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,`,`,`,d,`,`,`,`,`,`,`,`,d,d,d,`,`,`,`,`,`,`,`,d,`,`,`,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,#
d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,#
d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,`,`,`,d,`,`,`,`,`,`,`,`,d,d,d,`,`,`,`,`,`,`,`,d,`,`,`,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
`,d,`,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,`,d,`,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,`,`,`,d,`,`,`,`,d,d,d,`,d,d,d,`,d,d,d,`,`,`,`,d,`,`,`,`,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,`,d,d,d,d,d,d,d,`,d,d,d,#
d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
