q{wait 6}r,,,,,,,,,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d",,,,,"d","d",,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d",,,,,,"d","d","d","d","d",,,,,,,,"d","d","d","d","d","d","d","d","d","d","d","d","d"
,,,,"d","d",,,,,"d","d","d","d","d","d","d","d","d","d",,,,,,,"d","d","d","d",,,,,,,,"d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d",,"d","d",,"d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d",,,,"d","d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d",,,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,,,,"d","d",,,,,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d","d",,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d",,"d","d",,"d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d","d",,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d","d",,,"d","d",,,,,,,,"d","d","d","d","d","d","d","d","d","d","d","d","d"
,,,,"d","d",,,,,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d","d",,,"d","d",,,,,,,,"d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d","d",,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d","d",,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d","d",,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,,,,"d","d",,,,,"d","d","d","d","d","d","d","d","d","d",,,"d","d","d",,,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d",,,"d","d",,,,"d","d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d",,"d","d",,"d","d",,"d","d","d","d","d","d","d","d","d","d",,,,,,,"d","d","d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,,,,"d","d",,,,,"d","d","d","d","d","d","d","d","d","d",,,,,,"d","d","d","d","d",,,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,"d","d",,"d","d",,"d","d",,"d",,,"d","d","d","d","d","d","d","d",,,"d","d",,,"d","d","d","d","d","d","d","d","d","d","d",,,"d",,"d",,"d",,"d","d","d","d"
,,,,"d","d",,,,,"d","d","d",,"d","d","d","d","d","d","d",,"d","d",,"d","d","d","d","d","d","d","d","d","d","d","d","d",,"d","d",,"d",,"d",,"d","d","d","d"
,"d","d","d","d","d","d","d","d",,"d",,,,"d",,"d",,"d",,"d",,,"d","d",,"d","d",,,,"d",,,"d",,"d","d",,,"d",,"d",,"d",,"d","d","d","d"
,"d","d",,,,,"d","d",,"d",,"d",,"d",,"d",,"d",,"d",,"d","d","d","d",,"d",,"d",,"d",,"d",,"d",,"d",,"d","d","d","d","d","d","d","d","d","d","d"
,,,,,,,,,,"d",,,,"d","d",,"d",,"d","d",,,"d",,,"d","d",,,,"d",,"d",,"d",,"d",,,"d",,"d",,"d",,"d","d","d","d"
"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"d",,"d","d",,"d",,"d","d",,"d",,,"d","d","d",,"d","d","d",,,"d",,"d","d",,,"d",,"d","d",,"d",,,"d","d","d",,"d","d","d","d","d","d",,,"d","d"
"d",,"d","d","d","d",,,"d",,"d",,"d",,"d",,"d",,"d",,"d","d","d","d","d",,"d",,"d",,,"d",,"d","d","d",,"d",,,,"d","d","d","d","d",,"d",,"d"
"d",,"d","d",,"d",,"d",,,"d",,"d",,"d",,,,"d","d",,"d","d",,"d",,,,"d",,"d",,,"d","d",,,"d","d",,"d","d",,,,"d",,,"d","d"
"d",,"d","d",,"d",,"d","d",,"d",,"d",,"d",,"d","d","d","d","d",,"d",,"d","d","d",,"d",,"d","d",,"d",,"d",,"d","d",,"d","d",,"d",,"d",,"d",,"d"
"d",,,"d",,"d",,"d","d",,"d",,,"d","d","d",,,"d",,,"d","d",,"d",,,,"d",,"d","d",,"d","d",,,"d","d","d",,"d",,,,"d",,"d",,"d"
"d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d",,"d","q"
"#>##############","#","#","#","#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
