#dig This is the dig blueprint for a South-North-South repeatable screw pump tower.\n\nOn the bottom level, water is taken up from the South channeled tile. On the top level, water will exit the pump onto the tile directly South of the pump. See the DF wiki for a detailed explanation of screw pump technology.\n\nEvery repetition of this blueprint completes 2 z-levels of tower.\n\nIMPORTANT: Start from the top z-level and repeat (Alt+R) down. Then on the bottommost level, change the upper channel designation to mine. This allows the placement of the bottommost screw pump.
d,d,h,#
d,`,d,#
d,d,h,#
i,`,d,#
#>,#,#,#
`,`,d,#
d,d,h,#
d,`,d,#
i,d,h,#
#>,#,#,#
