#build a dwarf!
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,
`,`,`,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,`,`,`,
`,`,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,`,`,
`,`,`,Cf,Cf,Cf,Cf,`,`,`,`,`,`,`,`,`,`,Cf,Cf,Cf,Cf,`,`,`,
`,`,`,Cf,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,Cf,`,`,`,
`,`,`,Cf,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,Cf,`,`,`,
`,`,`,Cf,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,Cf,`,`,`,
`,`,`,Cf,Cf,`,`,Cf,Cf,Cf,`,`,`,`,Cf,Cf,Cf,`,`,Cf,Cf,`,`,`,
`,`,`,Cf,Cf,`,`,Cf,Cf,Cf,`,`,`,`,Cf,Cf,Cf,`,`,Cf,Cf,`,`,`,
`,`,`,Cf,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,Cf,`,`,`,
`,`,`,Cw,Cw,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Cw,Cw,`,`,`,
`,`,`,Cw,Cw,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Cw,Cw,`,`,`,
`,`,`,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,`,`,`,
`,`,`,Cw,Cw,Cw,Cw,`,`,`,Cf,Cf,Cf,Cf,`,`,`,Cw,Cw,Cw,Cw,`,`,`,
`,`,`,Cw,Cw,Cw,Cw,`,`,`,Cf,Cf,Cf,Cf,`,`,`,Cw,Cw,Cw,Cw,`,`,`,
`,`,`,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,`,`,`,
`,`,`,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,`,`,`,
`,`,`,`,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,`,`,`,`,
`,`,`,`,`,`,`,`,`,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,`,`,`,`,`,`,
`,`,`,`,`,`,`,`,`,`,Cw,Cw,Cw,Cw,Cw,Cw,Cw,`,`,`,`,`,`,`,
`,`,`,`,`,`,`,`,`,`,`,Cw,Cw,Cw,Cw,Cw,Cw,`,`,`,`,`,`,`,
`,`,`,`,`,`,`,`,`,`,`,`,Cw,Cw,Cw,Cw,`,`,`,`,`,`,`,`,
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,
