#dig a dwarf!
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,,
,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,
,,,h,h,h,h,,,,,,,,,,,h,h,h,h,,,,
,,,h,h,,,,,,,,,,,,,,,h,h,,,,
,,,h,h,,,,,,,,,,,,,,,h,h,,,,
,,,h,h,,,,,,,,,,,,,,,h,h,,,,
,,,h,h,,,h,h,h,,,,,h,h,h,,,h,h,,,,
,,,h,h,,,h,h,h,,,,,h,h,h,,,h,h,,,,
,,,h,h,,,,,,,,,,,,,,,h,h,,,,
,,,h,h,,,,,,,,,,,,,,,h,h,,,,
,,,h,h,,,,,,,,,,,,,,,h,h,,,,
,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,
,,,h,h,h,h,,,,h,h,h,h,,,,h,h,h,h,,,,
,,,h,h,h,h,,,,h,h,h,h,,,,h,h,h,h,,,,
,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,
,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,
,,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,,
,,,,,,,,,h,h,h,h,h,h,h,h,h,,,,,,,
,,,,,,,,,,h,h,h,h,h,h,h,,,,,,,,
,,,,,,,,,,,h,h,h,h,h,h,,,,,,,,
,,,,,,,,,,,,h,h,h,h,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
