#dig start(27;24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,
,,,,,,,,d,,,,,d,,,d,,,,,,,,,,,,d,,,,,d,,,d,,,,,,,,,,,,,,,
,,,,,,,,d,,d,,d,d,d,,d,,,,,,,,,,,,d,,d,,d,d,d,,d,,,,,,,,,,,,,,,
,,,,,,,,d,d,d,,,,,,d,,,,,,,,,,,,d,d,d,,,,,,d,,,,,,,,,,,,,,,
,,,,,,,,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,,
,,,,,,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,
,,,,,,,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,,,
,,,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,
,,,,,,,,d,,d,,d,d,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,d,d,,d,,d,,d,,d,,d,,,
,,,,,,,,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d,,,
,,,,,,,,d,,d,,d,d,d,d,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,d,d,d,d,,d,,d,,d,,d,,d,,,
,,,,,,,,d,,,,d,d,d,d,x,d,d,,,,d,,,,,,d,,,,d,d,d,d,x,d,d,,,,d,,,,,,d,,,
,,,,d,d,d,d,d,d,d,d,d,d,d,x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,x,x,x,d,d,d,d,d,d,d,d,d,d,d,,,
,,,,d,,,,,,d,,,,d,d,x,d,d,d,d,,,,d,,,,,,d,,,,d,d,x,d,d,d,d,,,,d,,,,,,,
,,,,d,,d,,d,,d,,d,,d,d,d,d,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,d,d,d,d,,d,,d,,,,,,,
,,,,d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,,,,,,,
,,,,d,,d,,d,,d,,d,,d,d,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,d,d,,d,,d,,,,,,,
,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,,
,,,,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,,,,,,
,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,d,d,d,,d,,,d,,,d,,,d,,,,,d,,,,,,,
,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,,,,,,,
,,,,,,,,d,,,,,d,,,d,,,,,,d,d,d,d,x,d,d,,,,,d,,,d,,,,,,d,d,d,,,,,,,
,,,,,,,,d,,d,,d,d,d,,d,,d,d,d,,d,d,d,x,x,x,d,d,d,,d,d,d,,d,,d,d,d,,d,,d,,,,,,,
,,,,,,,,d,d,d,,,,,,d,,,d,,,,,d,d,x,d,d,d,d,,,,,,d,,,d,,,,,d,,,,,,,
,,,,,,,,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,,
,,,,,,,,d,,,,,d,,,d,,,d,,,d,,d,d,d,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,
,,,,,,,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,,,
,,,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,
,,,,,,,,d,,d,,d,d,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,d,d,,d,,d,,d,,d,,d,,,
,,,,,,,,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d,,,
,,,,,,,,d,,d,,d,d,d,d,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,d,d,d,d,,d,,d,,d,,d,,d,,,
,,,,,,,,d,,,,d,d,d,d,x,d,d,,,,d,,,,,,d,,,,d,d,d,d,x,d,d,,,,d,,,,,,d,,,
,,,,d,d,d,d,d,d,d,d,d,d,d,x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,x,x,x,d,d,d,d,d,d,d,d,d,d,d,,,
,,,,d,,,,,,d,,,,d,d,x,d,d,d,d,,,,d,,,,,,d,,,,d,d,x,d,d,d,d,,,,d,,,,,,,
,,,,d,,d,,d,,d,,d,,d,d,d,d,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,d,d,d,d,,d,,d,,,,,,,
,,,,d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,,,,,,,
,,,,d,,d,,d,,d,,d,,d,d,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,d,d,,d,,d,,,,,,,
,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,,
,,,,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,,,,,,
,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,,,,,
,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,,,,,,,
,,,,,,,,,,,,,,,,d,,,,,,d,d,d,,,,,,,,,,,,d,,,,,,d,d,d,,,,,,,
,,,,,,,,,,,,,,,,d,,d,d,d,,d,,d,,,,,,,,,,,,d,,d,d,d,,d,,d,,,,,,,
,,,,,,,,,,,,,,,,d,,,d,,,,,d,,,,,,,,,,,,d,,,d,,,,,d,,,,,,,
,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,,#
