#build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,s,,b,,r,,s,,b,,r,,s,,b,,r,,s,,b,,r,,,,,,,,s,,b,,r,,s,,b,,r,,s,,b,,r,,s,,b,,r,#
,,,,,f,,,,,,f,,,,,,f,,,,,,f,,,,,,,,,,,,f,,,,,,f,,,,,,f,,,,,,f,#
,,,,t,c,,,,,t,c,,,,,t,c,,,,,t,c,,,,,,,,,,,t,c,,,,,t,c,,,,,t,c,,,,,t,c,#
,a,,,,,,a,,,,,,a,,,,,,a,,,,,,,,,,,,a,,,,,,a,,,,,,a,,,,,,a,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,d,,,,,,d,,,,,,d,,,,,,d,,,,,,,,,,,,d,,,,,,d,,,,,,d,,,,,,d,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,d,,,,,,d,,,,,,d,,,,,,d,,,,,,,,,,,,d,,,,,,d,,,,,,d,,,,,,d,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,a,,,,,,a,,,,,,a,,,,,,a,,,,,,,,,,,,a,,,,,,a,,,,,,a,,,,,,a,,,,,#
,,,,t,c,,,,,t,c,,,,,t,c,,,,,t,c,,,,,,,,,,,t,c,,,,,t,c,,,,,t,c,,,,,t,c,#
,,,,,f,,,,,,f,,,,,,f,,,,,,f,,,,,,,,,,,,f,,,,,,f,,,,,,f,,,,,,f,#
,s,,b,,r,,s,,b,,r,,s,,b,,r,,s,,b,,r,,,,d,,,,s,,b,,r,,s,,b,,r,,s,,b,,r,,s,,b,,r,#
,,,,,,,,,,,,,,,,,,,,,,,,,,d,~,d,,,,,,,,,,,,,,,,,,,,,,,,,,#
