#dig start(35;14) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,d,d,d,,,,,,,,d,d,d,d,d,,,,,,,,d,d,d,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,,,,,,,
,,,,,,,,,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,,,,,,,
,,,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,
,,,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,
,,,,,,,,d,d,d,d,d,,d,d,d,d,d,,,,,,d,,d,d,d,d,d,,,,d,,,,d,d,d,d,d,,d,,,,,,d,d,d,d,d,,d,d,d,d,d,,,,,,
,,,,,,,,d,d,d,d,d,,,,,,,d,d,d,d,d,d,,,,,,,d,,,d,,,d,,,,,,,d,d,d,d,d,d,,,,,,,d,d,d,d,d,,,,,,
,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,
,,,,,,,,,,,,,d,d,d,d,d,d,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,d,d,d,d,d,d,,,,,,,,,,,
,,,,,,,,d,d,d,d,d,,,,,,,,d,d,d,d,d,,,,,,,,d,d,d,d,d,,,,,,,,d,d,d,d,d,,,,,,,,d,d,d,d,d,,,,,,
