#dig start(31;31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , d, d, d, d, d, , d, , 
, , , , , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , d, , d, , 
, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , d, d, d, d, d, , d, , 
, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , , , , , d, , d, , 
, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, d, d, d, d, , 
, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , , , , , d, d, d, , 
, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, d, d, d, d, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , 
, d, , d, d, d, d, d, , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , d, d, d, d, d, , d, , d, d, d, d, d, d, d, , 
, d, , d, , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , d, , d, , , , , , d, d, d, , 
, d, , d, d, d, d, d, , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , d, d, d, d, d, , d, , d, d, d, d, d, d, d, , 
, d, , d, , , , , , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , , , , , d, , d, , , , , , d, d, d, , 
, d, d, d, d, d, d, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , d, d, d, d, d, d, d, , d, d, d, d, d, d, d, , 
, d, d, d, , , , , , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , , , , , d, d, d, , , , , , d, d, d, , 
, d, d, d, d, d, d, d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , d, , d, , d, , d, , d, d, d, d, d, d, d, , d, d, d, d, d, d, d, , 
, d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , d, d, d, , , , , , d, d, d, , 
, d, d, d, d, d, d, d, , d, , d, d, d, d, d, , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , d, d, d, d, d, , d, , d, d, d, d, d, d, d, , d, d, d, d, d, d, d, , 
, d, d, d, , , , , , d, , d, , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , d, , d, , , , , , d, d, d, , , , , , d, d, d, , 
, d, d, d, d, d, d, d, , d, , d, d, d, d, d, , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , d, d, d, d, d, , d, , d, d, d, d, d, d, d, , d, d, d, d, d, d, d, , 
, d, d, d, , , , , , d, , d, , , , , , d, , d, , d, , d, , d, , d, , d, d, d, , d, , d, , , , , , d, , d, , , , , , d, d, d, , , , , , d, d, d, , 
