#dig start(34;33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,d,,,,,d,d,d,,,,,d,d,d,d,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,d,d,,d,d,d,,d,d,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,d,d,,,,,,d,d,,d,d,,d,d,d,,d,d,,d,d,,,,,,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,d,d,,,,,d,d,,d,d,,,,,d,d,d,,,,,d,d,,d,d,,,,,d,d,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,d,d,,,,d,d,,d,d,,,,,d,d,,d,d,d,,d,d,,,,,d,d,,d,d,,,,d,d,,,,,,,,,,,,,,
,,,,,,,,,,,,,,d,,,,,,d,d,,,,,d,d,,d,d,,d,d,d,,d,d,,d,d,,,,,d,d,,,,,,d,,,,,,,,,,,,,
,,,,,,,,,,,,,d,,,,d,d,,,,,d,d,,d,d,,d,d,,d,d,d,,d,d,,d,d,,d,d,,,,,d,d,,,,d,,,,,,,,,,,,
,,,,,,,,,,,,d,,,,,d,d,,d,d,,d,d,,d,d,,,,,d,d,d,,,,,d,d,,d,d,,d,d,,d,d,,,,,d,,,,,,,,,,,
,,,,,,,,,,,d,,,d,d,,,,,d,d,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,d,d,,,,,d,d,,,d,,,,,,,,,,
,,,,,,,,,,d,,,,d,d,,d,d,,d,d,,,,d,d,d,d,,,,d,d,d,,,,d,d,d,d,,,,d,d,,d,d,,d,d,,,,d,,,,,,,,,
,,,,,,,,,d,,,,,d,d,,d,d,,,,,d,d,,,,,,,,d,d,d,,,,,,,,d,d,,,,,d,d,,d,d,,,,,d,,,,,,,,
,,,,,,,,d,,,,,,,,,d,d,,,d,d,,,,,,d,d,d,,d,d,d,,d,d,d,,,,,,d,d,,,d,d,,,,,,,,,d,,,,,,,
,,,,,,,d,,,d,d,d,,d,d,,,,,d,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,d,,,,,d,d,,d,d,d,,,d,,,,,,
,,,,,,d,,,,d,d,d,,d,d,,,d,d,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,d,d,,,d,d,,d,d,d,,,,d,,,,,
,,,,,,d,,,,,,,,,,,d,,,,d,d,,d,d,d,,,,,,d,d,d,,,,,,d,d,d,,d,d,,,,d,,,,,,,,,,,d,,,,,
,,,,,d,,,d,d,,d,d,d,,,d,,,,,d,d,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,d,d,,,,,d,,,d,d,d,,d,d,,,d,,,,
,,,,,d,,,d,d,,d,d,d,,d,,,d,d,,d,d,,,,,d,d,,,,d,d,d,,,,d,d,,,,,d,d,,d,d,,,d,,d,d,d,,d,d,,,d,,,,
,,,,d,,,,,,,,,,,d,,,d,d,,,,,,d,d,,,,,,d,d,d,,,,,,d,d,,,,,,d,d,,,d,,,,,,,,,,,d,,,
,,,,d,,d,d,,d,d,d,,,d,,,,,,,,,d,d,,,,d,d,d,,d,d,d,,d,d,d,,,,d,d,,,,,,,,,d,,,d,d,d,,d,d,,d,,,
,,,d,,,d,d,,d,d,d,,d,,,d,d,d,,,,d,,,,,,d,d,d,,d,d,d,,d,d,d,,,,,,d,,,,d,d,d,,,d,,d,d,d,,d,d,,,d,,
,,,d,,,,,,,,,,d,,,d,d,d,,,d,,,,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,,,,d,,,d,d,d,,,d,,,,,,,,,,d,,
,,,d,,d,d,,d,d,,,d,,,,,,,,d,,,,,d,d,,,,,,d,d,d,,,,,,d,d,,,,,d,,,,,,,,d,,,d,d,,d,d,,d,,
,,d,,,d,d,,d,d,,,d,,d,d,d,,,,d,,,,,,,,d,d,,,d,d,d,,,d,d,,,,,,,,d,,,,d,d,d,,d,,,d,d,,d,d,,,d,
,,d,,,,,,,,,d,,,d,d,d,,,d,,,d,d,,d,d,,d,d,,,d,d,d,,,d,d,,d,d,,d,d,,,d,,,d,d,d,,,d,,,,,,,,,d,
,,d,,d,d,,d,d,d,,d,,,d,d,d,,,d,,,d,d,,d,d,,,,,d,d,d,d,d,,,,,d,d,,d,d,,,d,,,d,d,d,,,d,,d,d,d,,d,d,,d,
,,d,,d,d,,d,d,d,,d,,,,,,,d,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,d,,,,,,,d,,d,d,d,,d,d,,d,
,d,,,,,,,,,,d,,d,d,d,,,d,,d,d,d,,d,d,,,d,d,d,d,d,d,d,d,d,d,d,,,d,d,,d,d,d,,d,,,d,d,d,,d,,,,,,,,,,d
,d,,d,d,,d,d,d,,d,,,d,d,d,,d,,,d,d,d,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,d,d,d,,,d,,d,d,d,,,d,,d,d,d,,d,d,,d
,d,,d,d,,d,d,d,,d,,,d,d,d,,d,,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,,d,,d,d,d,,,d,,d,d,d,,d,d,,d
,d,,,,,,,,,d,,,,,,,d,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,d,,,,,,,d,,,,,,,,,d
,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,d,,,,,,,,,d,,,,,,,d,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,d,,,,,,,d,,,,,,,,,d
,d,,d,d,,d,d,d,,d,,,d,d,d,,d,,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,,d,,d,d,d,,,d,,d,d,d,,d,d,,d
,d,,d,d,,d,d,d,,d,,,d,d,d,,d,,,d,d,d,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,d,d,d,,,d,,d,d,d,,,d,,d,d,d,,d,d,,d
,d,,,,,,,,,,d,,d,d,d,,,d,,d,d,d,,d,d,,,d,d,d,d,d,d,d,d,d,d,d,,,d,d,,d,d,d,,d,,,d,d,d,,d,,,,,,,,,,d
,,d,,d,d,,d,d,d,,d,,,,,,,d,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,d,,,,,,,d,,d,d,d,,d,d,,d,
,,d,,d,d,,d,d,d,,d,,,d,d,d,,,d,,,d,d,,d,d,,,,,d,d,d,d,d,,,,,d,d,,d,d,,,d,,,d,d,d,,,d,,d,d,d,,d,d,,d,
,,d,,,,,,,,,d,,,d,d,d,,,d,,,d,d,,d,d,,d,d,,,d,d,d,,,d,d,,d,d,,d,d,,,d,,,d,d,d,,,d,,,,,,,,,d,
,,d,,,d,d,,d,d,,,d,,d,d,d,,,,d,,,,,,,,d,d,,,d,d,d,,,d,d,,,,,,,,d,,,,d,d,d,,d,,,d,d,,d,d,,,d,
,,,d,,d,d,,d,d,,,d,,,,,,,,d,,,,,d,d,,,,,,d,d,d,,,,,,d,d,,,,,d,,,,,,,,d,,,d,d,,d,d,,d,,
,,,d,,,,,,,,,,d,,,d,d,d,,,d,,,,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,,,,d,,,d,d,d,,,d,,,,,,,,,,d,,
,,,d,,,d,d,,d,d,d,,d,,,d,d,d,,,,d,,,,,,d,d,d,,d,d,d,,d,d,d,,,,,,d,,,,d,d,d,,,d,,d,d,d,,d,d,,,d,,
,,,,d,,d,d,,d,d,d,,,d,,,,,,,,,d,d,,,,d,d,d,,d,d,d,,d,d,d,,,,d,d,,,,,,,,,d,,,d,d,d,,d,d,,d,,,
