#dig start(42;42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, , d, , d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, d, d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, , d, , d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , d, , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , d, , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, , , d, , , d, , , d, , , d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, , , d, , , d, , , d, , , d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , d, , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , d, d, d, , d, , d, d, d, , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , , , , , d, , , , , , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, , , , , d, d, d, d, d, , , , , d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, , d, , d, d, , d, d, d, d, d, , d, d, , d, , d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , d, d, d, d, d, d, d, , d, d, d, d, d, , d, d, d, d, d, d, d, , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , d, d, , d, , d, d, , d, d, d, d, d, , d, d, , d, , d, d, , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , d, d, , , d, , , , , , d, , , , , d, d, d, d, d, , , , , d, , , , , , d, , , d, d, , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , d, d, , , d, , , , , , d, , , , , d, d, d, d, d, , , , , d, , , , , , d, , , d, d, , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , d, d, d, , d, d, , d, , d, d, , d, d, d, d, d, , d, d, , d, , d, d, , d, d, d, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , d, d, d, , , , , d, d, d, , d, d, d, d, d, d, d, , d, d, d, d, d, , d, d, d, d, d, d, d, , d, d, d, , , , , d, d, d, , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , d, d, , d, , d, d, , d, d, d, d, d, , d, d, , d, , d, d, , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , d, , , , , d, d, d, d, , , , , d, , , , , d, d, d, d, d, , , , , d, , , , , d, d, d, d, , , , , d, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , d, d, , d, , d, d, , d, d, d, d, d, d, , d, d, d, , d, d, d, d, d, d, d, d, d, , d, d, d, , d, d, d, d, d, d, , d, d, , d, , d, d, , , , , , , , , , , , , , , , , , , 
