#dig start(19;19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , d, , d, , d, , d, , d, , d, , d, d, d, d, d, d, d, , d, , d, , d, , d, , , , , , 
, , , , , d, , d, , d, , d, , d, , d, , d, d, d, , , , , , d, , d, , d, , d, , , , , , 
, , , , , d, , d, , d, , d, , d, , d, , d, d, d, d, d, d, d, , d, , d, , d, , d, , , , , , 
, , , , , d, , d, , d, , d, , d, , d, , d, d, d, , , , , , d, , d, , d, , d, , , , , , 
, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d,i,i,i, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , 
, , , , , d, d, d, d, d, d, d, d, d, d, d, d,i, ,i, d, d, d, d, d, d, d, d, d, d, d, d, , , , , , 
, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d,i,i,i, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, , 
, , , , , d, , d, , d, , d, , , , , , d, d, d, , d, , d, , d, , d, , d, , d, , , , , , 
, , , , , d, , d, , d, , d, , d, d, d, d, d, d, d, , d, , d, , d, , d, , d, , d, , , , , , 
, , , , , d, , d, , d, , d, , , , , , d, d, d, , d, , d, , d, , d, , d, , d, , , , , , 
, , , , , d, , d, , d, , d, , d, d, d, d, d, d, d, , d, , d, , d, , d, , d, , d, , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, d, d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, d, d, d, d, d, d, d, d, d, d, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , d, , d, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
