#dig start(14;15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , d, d, , d, d, , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , d, d, , d, d, , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , d, , , , , , , , , , , , ,,,,,,,, , , , , , , , 
, , , , , , , , , d, d, d, d, d, d, d, d, d, , , , , , , , ,,,,,,,, , , , , , , , 
, , , , , , , , , , , , , d, , , , , , , , , , , , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , , d, d, , d, d, , , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , , d, d, , d, d, , , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , , , d, , , , , , , , , , , , , , , , d, , , , ,,,,,,,, , , , , , , , 
, d, d, d, d, d, d, d, d, d, d, , , d, , , d, d, d, d, d, d, d, d, d, d,,,,,,,, , , , , , , , 
, , , , , d, , , , , , , , d, , , , , , , , d, , , , ,,,,,,,, , , , , , , , 
, , , , , d, , , , , , , , d, , , , , , , , d, , , , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , d, d, , d, , d, d, , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , d, d, , d, , d, d, , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , , , , , , , , , , d, d, d, , , , , , , , , , , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , d, d, , d, , d, d, , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , d, d, , d, , d, d, , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , , , d, , , , , , , , d, , , , , , , , d, , , , ,,,,,,,, , , , , , , , 
, d, d, d, d, d, d, d, d, d, d, , , d, , , d, d, d, d, d, d, d, d, d, d,,,,,,,, , , , , , , , 
, , , , , d, , , , , , , , , , , , , , , , d, , , , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , , d, d, , d, d, , , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , d, d, , d, d, d, , , d, d, , d, d, , , d, d, d, , d, d, , ,,,,,,,, , , , , , , , 
, , , , , , , , , , , , , d, , , , , , , , , , , , ,,,,,,,, , , , , , , , 
, , , , , , , , , d, d, d, d, d, d, d, d, d, , , , , , , , ,,,,,,,, , , , , , , , 
, , , , , , , , , , , , , d, , , , , , , , , , , , ,,,,,,,, , , , , , , , 
, , , , , , , , , , , , , d, , , , , , , , , , , , ,,,,,,,, , , , , , , , 
, , , , , , , , , , , d, d, , d, d, , , , , , , , , , ,,,,,,,, , , , , , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , 
, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , 
