#dig start(50;49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d
,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d
,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,,,d,d,d
,,,d,,,,,,d,,,,,,d,,,,,,d,,,,,,,,d,,,,,,d,,,,,,d,,,,,,d,,,,d,,,,,,d,,,,,,d,,,,,,d,,,,,,,,d,,,,,,d,,,,,,d,,,,,,d,
,,,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,,,,,,,,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,,,,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,,,,,,,,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,
,,,d,,,d,,,d,,,,,,d,,,d,,,d,,,,,,,,d,,,d,,,d,,,,,,d,,,d,,,d,,,,d,,,d,,,d,,,,,,d,,,d,,,d,,,,,,,,d,,,d,,,d,,,,,,d,,,d,,,d,
,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,,,,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,,,,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d
,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,,,,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,,,,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d
,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,,,,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d,,,,,,d,d,d,,d,,d,d,d,,,,d,d,d,,d,,d,d,d
,,,,,,d,,,,,,,,,,,,d,,,,,,,,,,,,,,d,,,,,,,,,,,,d,,,,,,,,,,d,,,,,,,,,,,,d,,,,,,,,,,,,,,d,,,,,,,,,,,,d,,,,
