#dig start(27;25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,,
,,,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,,
,,,,,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,,,,
,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,
,,,,,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,i,i,i,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,,,,
,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d
,,,,,d,,,,,,,,,,d,,,,,,,,,,d,d,d,,,,,,,,,,d,,,,,,,,,,d,,,,
,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,
,,,,,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,d,,,,,,,
,,,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,,
,,,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,,
