#dig start(24;24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,d,d,d,d,d,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,#
d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,#
